SKU,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,space_percentage
2174227323,17,9,2,306,691,20032,691,High Movement,0,0.5538867924528301,Medium Priority,473822,469,ZONE_B,True,0.003295110766332927
2174227661,9,10,4,360,893,24210,893,High Movement,0,0.6089245283018867,Medium Priority,473023,533,ZONE_B,True,0.00387660090156815
2175119180,19,6,6,684,994,18621,994,High Movement,0,0.6705471698113207,Medium Priority,223222,992,ZONE_B,True,0.007365541712979484
2175119388,19,6,6,684,2069,32713,2069,High Movement,1,0.7647169811320754,Medium Priority,222022,2068,ZONE_B,True,0.007365541712979484
2176487412,21,8,8,1344,1181,28989,1181,High Movement,1,0.7823962264150943,Medium Priority,481723,646,ZONE_B,True,0.014472643365854427
2544321616,10,6,9,540,425,8892,425,Medium Movement,0,0.4991698113207546,Medium Priority,2128A4,244,ZONE_B,True,0.005814901352352225
2544321624,10,6,9,540,444,8017,444,Medium Movement,0,0.5074905660377358,Medium Priority,2110C4,287,ZONE_B,True,0.005814901352352225
2544325618,10,6,9,540,387,12167,387,Medium Movement,0,0.4822641509433962,Medium Priority,463422,195,ZONE_B,True,0.005814901352352225
2544325634,10,6,9,540,425,8194,425,Medium Movement,0,0.4991698113207546,Medium Priority,2128A2,263,ZONE_B,True,0.005814901352352225
2544825617,19,6,6,684,179,2877,179,Medium Movement,0,0.3906792452830189,Low Priority,462923,98,ZONE_C,False,0.007365541712979484
2572370211,13,8,8,832,717,14869,717,High Movement,0,0.6399433962264149,Medium Priority,2142C4,422,ZONE_B,True,0.008959255416957503
2572370253,19,5,8,760,373,5507,373,Medium Movement,0,0.5082830188679245,Medium Priority,2110C6,206,ZONE_B,True,0.008183935236643873
2572370260,13,8,8,832,772,12142,772,High Movement,0,0.6527547169811321,Medium Priority,2142A3,434,ZONE_B,True,0.008959255416957503
2573524487,27,13,13,4563,1553,30292,1553,High Movement,1,0.882943396226415,High Priority,223622,1535,ZONE_A,True,0.0491359164273763
2952391318,9,16,9,1296,312,3118,312,Medium Movement,0,0.5530754716981132,Medium Priority,N32632,312,ZONE_B,True,0.01395576324564534
2953485251,21,9,2,378,2023,10743,2023,High Movement,1,0.717188679245283,Medium Priority,N42G22,2021,ZONE_B,True,0.004070430946646557
2953091940,7,11,2,154,1468,29417,1468,High Movement,1,0.6530377358490566,Medium Priority,N31922,1468,ZONE_B,True,0.001658323719004153
2954491249,21,6,6,756,387,4838,387,Medium Movement,0,0.5137358490566037,Medium Priority,N32923,387,ZONE_B,True,0.008140861893293114
2954776210,11,2,20,440,1607,42577,1607,High Movement,1,0.7022452830188679,Medium Priority,N25322,1604,ZONE_B,True,0.004738067768583294
2954776222,22,12,2,528,718,19412,718,High Movement,0,0.5924150943396227,Medium Priority,N32233,718,ZONE_B,True,0.005685681322299953
2954788157,14,5,5,350,669,13391,669,High Movement,0,0.5546415094339623,Medium Priority,N25722,669,ZONE_B,True,0.0037689175431912564
2954788198,24,3,28,2016,1535,33178,1535,High Movement,1,0.845188679245283,High Priority,N25522,1534,ZONE_A,True,0.02170896504878164
2954793230,31,19,4,2356,4073,164858,4073,High Movement,3,0.9326037735849056,High Priority,N27122,3941,ZONE_A,True,0.025370199233596003
2954793248,2,23,9,414,914,17673,914,High Movement,0,0.6176226415094339,Medium Priority,N25922,913,ZONE_B,True,0.004458091036803372
2954793256,2,10,25,500,792,15550,792,High Movement,0,0.6066603773584904,Medium Priority,N25723,791,ZONE_B,True,0.005384167918844652
2954793304,15,16,12,2880,2650,175793,2650,High Movement,1,0.9157735849056604,High Priority,N32733,2648,ZONE_A,True,0.0310128072125452
2954793487,2,23,9,414,815,16722,815,High Movement,0,0.5982075471698112,Medium Priority,N26122,814,ZONE_B,True,0.004458091036803372
3575421127,33,5,4,660,1454,106829,1454,High Movement,1,0.7230566037735848,Medium Priority,183123,1454,ZONE_B,True,0.007107101652874941
3575423123,34,4,4,544,4316,273178,4316,High Movement,3,0.7954150943396225,Medium Priority,182322,4310,ZONE_B,True,0.0058579746957029815
3575423214,33,5,5,825,1809,65850,1809,High Movement,1,0.7700377358490565,Medium Priority,182723,1808,ZONE_B,True,0.008883877066093676
3575423313,34,6,6,1224,671,11337,671,High Movement,0,0.6825094339622642,Medium Priority,182324,671,ZONE_B,True,0.013180443065331709
3575423412,48,5,5,1200,351,12224,351,Medium Movement,0,0.5608490566037735,Medium Priority,182123,350,ZONE_B,True,0.012922003005227167
3575524517,34,6,6,1224,17,591,17,Low Movement,0,0.2630377358490566,Low Priority,182323,17,ZONE_C,False,0.013180443065331709
3575625140,33,6,6,1188,748,24353,748,High Movement,0,0.6950377358490566,Medium Priority,182523,748,ZONE_B,True,0.012792782975174893
3575721120,40,6,6,1440,77,1552,77,Low Movement,0,0.3856792452830189,Low Priority,183333,77,ZONE_C,False,0.0155064036062726
3575821136,17,3,11,561,67,2460,67,Low Movement,0,0.2634339622641509,Low Priority,181922,67,ZONE_C,False,0.0060410364049437
3575926125,6,9,9,486,109,4063,109,Low Movement,0,0.2987735849056603,Low Priority,181523,109,ZONE_C,False,0.005233411217117002
3575026123,8,7,7,392,132,4323,132,Low Movement,0,0.303754716981132,Low Priority,181522,132,ZONE_C,False,0.004221187648374208
3576526123,24,6,12,1728,28,40,28,Low Movement,0,0.3194905660377358,Low Priority,1833A5,28,ZONE_C,False,0.01860768432752712
3576526157,15,16,36,8640,42,109,42,Low Movement,0,0.4065471698113208,Medium Priority,1833A4,42,ZONE_B,True,0.0930384216376356
3576526297,125,120,125,1875000,166,586,166,Medium Movement,2,0.5485094339622641,Medium Priority,1833A2,162,ZONE_B,True,20.190629695667447
3576526313,125,120,125,1875000,94,159,94,Low Movement,2,0.4814150943396226,Medium Priority,1833A6,94,ZONE_B,True,20.190629695667447
3576526362,120,100,120,1440000,11,13,11,Low Movement,2,0.3409811320754716,Low Priority,1833A3,11,ZONE_C,False,15.506403606272597
3576721137,21,8,8,1344,616,13420,616,Medium Movement,0,0.6759433962264151,Medium Priority,181722,616,ZONE_B,True,0.014472643365854427
3576721145,30,7,8,1680,463,10392,463,Medium Movement,0,0.6410188679245283,Medium Priority,181322,463,ZONE_B,True,0.018090804207318033
3576721153,21,8,8,1344,625,14072,625,High Movement,0,0.6787169811320755,Medium Priority,183522,625,ZONE_B,True,0.014472643365854427
3576721160,22,8,7,1232,746,18707,746,High Movement,0,0.700622641509434,Medium Priority,183122,746,ZONE_B,True,0.013266589752033224
3576721178,30,6,8,1440,553,12465,553,Medium Movement,0,0.6621132075471698,Medium Priority,181923,552,ZONE_B,True,0.0155064036062726
3682129241,2,18,9,324,882,66138,882,High Movement,0,0.6004528301886792,Medium Priority,N44823,881,ZONE_B,True,0.003488940811411335
3682167316,12,8,7,672,34,335,34,Low Movement,0,0.2258679245283018,Low Priority,N368C3,33,ZONE_C,False,0.0072363216829272135
3682187216,1,16,10,160,1883,23182,1883,High Movement,1,0.6810566037735848,Medium Priority,N44023,1888,ZONE_B,True,0.0017229337340302889
3682187249,3,21,10,630,742,58147,742,High Movement,0,0.6152641509433961,Medium Priority,N44022,741,ZONE_B,True,0.006784051577744262
3682476254,13,1,14,182,658,37926,658,High Movement,0,0.5296037735849056,Medium Priority,N44822,659,ZONE_B,True,0.0019598371224594535
3682476353,1,10,15,150,169,5074,169,Medium Movement,0,0.3065849056603773,Low Priority,N369C3,169,ZONE_C,False,0.001615250375653396
3782414121,4,13,11,572,1732,47490,1732,High Movement,1,0.7286981132075471,Medium Priority,N22323,1728,ZONE_B,True,0.006159488099158282
3782414147,2,11,19,418,909,24235,909,High Movement,0,0.6175660377358491,Medium Priority,N22523,909,ZONE_B,True,0.00450116438015413
3782414162,2,10,8,160,1784,91833,1784,High Movement,1,0.6745849056603774,Medium Priority,N22122,1784,ZONE_B,True,0.0017229337340302889
3782414196,12,2,9,216,1549,40205,1549,High Movement,1,0.665320754716981,Medium Priority,N22522,1549,ZONE_B,True,0.00232596054094089
3782414212,2,9,7,126,1626,72718,1626,High Movement,1,0.6637358490566037,Medium Priority,N34723,1624,ZONE_B,True,0.0013568103155488524
4141722469,1,1,1,1,98,1446,98,Low Movement,0,0.2113018867924528,Low Priority,N339A2,98,ZONE_C,False,1.0768335837689304e-05
4141722477,27,4,12,1296,18,110,18,Low Movement,0,0.2714905660377358,Low Priority,N341C2,18,ZONE_C,False,0.01395576324564534
4141722485,27,4,12,1296,68,1207,68,Low Movement,0,0.365,Low Priority,N334A4,68,ZONE_C,False,0.01395576324564534
4141722493,22,4,4,352,5,18,5,Low Movement,0,0.102188679245283,Low Priority,N332C2,5,ZONE_C,False,0.0037904542148666353
4141722401,22,4,4,352,93,1320,93,Low Movement,0,0.2606792452830188,Low Priority,N335A3,93,ZONE_C,False,0.0037904542148666353
4141722519,19,4,3,228,731,9574,731,High Movement,0,0.5499245283018868,Medium Priority,N333C2,729,ZONE_B,True,0.002455180570993161
4141722535,22,4,9,792,766,9204,766,High Movement,0,0.6453207547169811,Medium Priority,N34532,766,ZONE_B,True,0.00852852198344993
4141722592,27,3,3,243,421,7000,421,Medium Movement,0,0.4515849056603773,Medium Priority,N34432,421,ZONE_B,True,0.002616705608558501
4141722626,2,4,22,176,1116,19620,1116,High Movement,1,0.6159622641509434,Medium Priority,N34322,1117,ZONE_B,True,0.0018952271074333176
4141722733,19,4,3,228,468,6335,468,Medium Movement,0,0.4701509433962264,Medium Priority,N330C4,468,ZONE_B,True,0.002455180570993161
4141722840,27,3,3,243,444,6017,444,Medium Movement,0,0.4609622641509433,Medium Priority,N335C5,441,ZONE_B,True,0.002616705608558501
4141722858,26,7,2,364,655,9095,655,High Movement,0,0.5537547169811321,Medium Priority,N339C2,655,ZONE_B,True,0.003919674244918907
4141722865,24,5,2,240,642,8847,642,High Movement,0,0.5298679245283019,Medium Priority,N335C4,642,ZONE_B,True,0.0025844006010454328
4141722873,24,5,2,240,462,6915,462,Medium Movement,0,0.4684528301886792,Medium Priority,N339C3,462,ZONE_B,True,0.0025844006010454328
9918517167,20,12,40,9600,17,63,17,Low Movement,0,0.3490188679245283,Low Priority,N32D33,10,ZONE_C,False,0.10337602404181734
9918517201,17,14,14,3332,758,3767,758,High Movement,0,0.7616792452830188,Medium Priority,N32A23,758,ZONE_B,True,0.035880095011180765
9918517720,13,11,11,1573,2083,18152,2083,High Movement,1,0.8652264150943395,High Priority,N27622,2083,ZONE_A,True,0.016938592272685276
9918517738,17,14,14,3332,1659,12831,1659,High Movement,1,0.8769811320754717,High Priority,N27523,1651,ZONE_A,True,0.035880095011180765
9918517754,13,11,11,1573,1765,14074,1765,High Movement,1,0.8467358490566037,High Priority,N27822,1761,ZONE_A,True,0.016938592272685276
9918517761,17,14,14,3332,2290,25795,2290,High Movement,1,0.909867924528302,High Priority,N27722,2260,ZONE_A,True,0.035880095011180765
9918517774,13,11,11,1573,612,4539,612,Medium Movement,0,0.6881132075471698,Medium Priority,N32A22,611,ZONE_B,True,0.016938592272685276
9918521425,12,11,11,1452,339,3217,339,Medium Movement,0,0.5751509433962263,Medium Priority,N32C33,336,ZONE_B,True,0.01563562363632487
9918521433,12,11,11,1452,194,1918,194,Medium Movement,0,0.4960377358490565,Medium Priority,N33C32,194,ZONE_B,True,0.01563562363632487
9918522153,17,14,14,3332,252,2907,252,Medium Movement,0,0.5743962264150944,Medium Priority,N32D23,251,ZONE_B,True,0.035880095011180765
16-26016,20,6,6,720,301,3396,301,Medium Movement,0,0.4694339622641509,Medium Priority,N33222,299,ZONE_B,True,0.0077532018031363
16-394342,2,14,4,112,336,4856,336,Medium Movement,0,0.404377358490566,Medium Priority,N33223,336,ZONE_B,True,0.001206053613821202
16-394373,3,17,13,663,394,5966,394,Medium Movement,0,0.5035849056603774,Medium Priority,N320C3,394,ZONE_B,True,0.007139406660388009
16-441237,22,7,11,1694,63,560,63,Low Movement,0,0.3776037735849056,Low Priority,N41222,63,ZONE_C,False,0.018241560909045683
16-459332,21,6,6,756,245,3169,245,Medium Movement,0,0.4447924528301886,Medium Priority,N320C4,245,ZONE_B,True,0.008140861893293114
16-405806,1,1,1,1,166,2182,166,Medium Movement,0,0.2752264150943396,Low Priority,N32833,165,ZONE_C,False,1.0768335837689304e-05
21-111937,15,10,1,150,212,5062,212,Medium Movement,0,0.3409245283018868,Low Priority,N21322,213,ZONE_C,False,0.001615250375653396
21-113616,19,6,6,684,3865,107675,3865,High Movement,3,0.8096226415094339,High Priority,221623,3856,ZONE_A,True,0.007365541712979484
21-114427,17,6,5,510,820,8569,820,High Movement,0,0.6143018867924528,Medium Priority,N222C5,533,ZONE_B,True,0.005491851277221545
21-114420,19,13,2,494,503,8043,503,Medium Movement,0,0.5269433962264152,Medium Priority,482123,278,ZONE_B,True,0.0053195579038185165
21-121212,19,10,9,1710,867,12987,867,High Movement,0,0.754188679245283,Medium Priority,471722,485,ZONE_B,True,0.01841385428244871
21-213653,24,6,6,864,493,7490,493,Medium Movement,0,0.5785283018867924,Medium Priority,222522,492,ZONE_B,True,0.00930384216376356
21-213656,24,6,6,864,246,3223,246,Medium Movement,0,0.4628301886792452,Medium Priority,222622,246,ZONE_B,True,0.00930384216376356
21-22217,16,1,11,176,191,3047,191,Medium Movement,0,0.3276415094339622,Low Priority,N21323,191,ZONE_C,False,0.0018952271074333176
21-241672,25,6,6,900,4250,69252,4250,High Movement,3,0.8495283018867924,High Priority,223922,4241,ZONE_A,True,0.009691502253920374
21-241736,27,7,6,1134,3062,62109,3062,High Movement,1,0.8553584905660376,High Priority,221022,3052,ZONE_A,True,0.01221129283993967
21-241730,9,9,9,729,147,2655,147,Low Movement,0,0.369566037735849,Low Priority,471522,134,ZONE_C,False,0.007850116825675503
21-241741,25,6,6,900,4178,89396,4178,High Movement,3,0.8484716981132074,High Priority,221922,4178,ZONE_A,True,0.009691502253920374
21-244941,25,6,6,900,4336,80521,4336,High Movement,3,0.8505849056603773,High Priority,221923,4327,ZONE_A,True,0.009691502253920374
21-244947,25,6,6,900,2301,38114,2301,High Movement,1,0.8103018867924527,High Priority,222222,2301,ZONE_A,True,0.009691502253920374
21-25999,30,8,7,1680,796,15735,796,High Movement,0,0.7384905660377359,Medium Priority,481422,451,ZONE_B,True,0.018090804207318033
21-25905,31,9,7,1953,1061,22387,1061,High Movement,1,0.7923584905660377,Medium Priority,481423,588,ZONE_B,True,0.021030559891007213
21-262433,26,6,6,936,275,5717,275,Medium Movement,0,0.495,Medium Priority,222922,275,ZONE_B,True,0.010079162344077188
21-263978,25,6,6,900,222,4411,222,Medium Movement,0,0.455811320754717,Medium Priority,222923,222,ZONE_B,True,0.009691502253920374
21-264430,17,13,2,442,39,310,39,Low Movement,0,0.2012264150943396,Low Priority,483322,39,ZONE_C,False,0.004759604440258673
21-266440,8,25,6,1200,2257,49386,2257,High Movement,1,0.8458679245283018,High Priority,473322,1147,ZONE_A,True,0.012922003005227167
21-28459,21,8,8,1344,946,18752,946,High Movement,0,0.7497735849056604,Medium Priority,481822,501,ZONE_B,True,0.014472643365854427
21-28450,21,9,8,1512,892,18425,892,High Movement,0,0.7525849056603773,Medium Priority,481623,616,ZONE_B,True,0.016281723786586228
21-28796,15,22,19,6270,1,1,1,Low Movement,0,0.2897924528301887,Low Priority,481832,1,ZONE_C,False,0.06751746570231193
21-35418,21,7,7,1029,608,12632,608,Medium Movement,0,0.6381320754716981,Medium Priority,481022,333,ZONE_B,True,0.011080617576982294
21-38444,21,8,11,1848,342,6393,342,Medium Movement,0,0.5906792452830189,Medium Priority,481823,179,ZONE_B,True,0.019899884628049834
21-39147,21,8,8,1344,157,4672,157,Medium Movement,0,0.4559056603773584,Medium Priority,481223,104,ZONE_B,True,0.014472643365854427
21-522670,17,3,10,510,26,7872,26,Low Movement,0,0.1828113207547169,Low Priority,722522,4,ZONE_C,False,0.005491851277221545
21-523547,24,6,12,1728,3,18,3,Low Movement,0,0.2492264150943396,Low Priority,2120D5,2,ZONE_C,False,0.01860768432752712
21-523509,20,12,6,1440,1341,5234,1341,High Movement,1,0.8067358490566038,High Priority,223623,1338,ZONE_A,True,0.0155064036062726
21-614607,20,11,6,1320,581,19242,581,Medium Movement,0,0.6626981132075471,Medium Priority,472022,330,ZONE_B,True,0.014214203305749882
21-614608,17,3,10,510,754,28978,754,High Movement,0,0.5993773584905661,Medium Priority,474222,413,ZONE_B,True,0.005491851277221545
21-614609,17,7,5,595,10,197,10,Low Movement,0,0.1585471698113207,Low Priority,215223,5,ZONE_C,False,0.006407159823425136
21-624678,8,9,3,216,28,966,28,Low Movement,0,0.1436226415094339,Low Priority,2117C5,22,ZONE_C,False,0.00232596054094089
21-631080,16,5,19,1520,242,3330,242,Medium Movement,0,0.5283962264150943,Medium Priority,2114A4,147,ZONE_B,True,0.016367870473287745
21-633532,24,6,9,1296,572,9186,572,Medium Movement,0,0.6593962264150943,Medium Priority,474223,307,ZONE_B,True,0.01395576324564534
21-633701,4,13,13,676,2482,80801,2482,High Movement,1,0.7807169811320753,Medium Priority,464323,1246,ZONE_B,True,0.0072793950262779695
21-644382,4,9,16,576,1881,55769,1881,High Movement,1,0.7394716981132075,Medium Priority,481923,984,ZONE_B,True,0.00620256144250904
21-661921,27,7,8,1512,346,5070,346,Medium Movement,0,0.5806226415094339,Medium Priority,221522,346,ZONE_B,True,0.016281723786586228
21-662624,24,6,12,1728,47,9072,47,Low Movement,0,0.359377358490566,Low Priority,782122,28,ZONE_C,False,0.01860768432752712
21-713803,19,7,4,532,314,4969,314,Medium Movement,0,0.4484339622641509,Medium Priority,471623,207,ZONE_B,True,0.00572875466565071
21-714633,13,6,3,234,1732,57450,1732,High Movement,1,0.6767358490566037,Medium Priority,473323,893,ZONE_B,True,0.002519790586019297
21-714636,12,6,3,216,1522,47739,1522,High Movement,1,0.6621509433962265,Medium Priority,473422,801,ZONE_B,True,0.00232596054094089
21-715188,19,13,2,494,231,3613,231,Medium Movement,0,0.3980377358490566,Low Priority,N222A5,151,ZONE_C,False,0.0053195579038185165
21-715194,20,10,5,1000,104,1624,104,Low Movement,0,0.3691320754716981,Low Priority,N210A2,86,ZONE_C,False,0.010768335837689304
21-715109,19,3,10,570,5,48,5,Low Movement,0,0.1349056603773585,Low Priority,213532,4,ZONE_C,False,0.006137951427482903
21-715467,19,6,17,1938,88,17388,88,Low Movement,0,0.4160566037735849,Medium Priority,781322,64,ZONE_B,True,0.020869034853441874
21-715783,20,4,16,1280,6,48,6,Low Movement,0,0.2369245283018867,Low Priority,2128D2,3,ZONE_C,False,0.013783469872242311
21-715920,24,6,9,1296,511,7449,511,Medium Movement,0,0.6394528301886793,Medium Priority,474322,269,ZONE_B,True,0.01395576324564534
21-717398,18,12,1,216,10,183,10,Low Movement,0,0.0983207547169811,Low Priority,481333,5,ZONE_C,False,0.00232596054094089
21-710692,25,6,6,900,869,16882,869,High Movement,0,0.6853584905660376,Medium Priority,221822,869,ZONE_B,True,0.009691502253920374
21-722354,18,14,5,1260,8,30,8,Low Movement,0,0.2418490566037736,Low Priority,N21432,8,ZONE_C,False,0.013568103155488525
21-722592,8,25,6,1200,346,5384,346,Medium Movement,0,0.557811320754717,Medium Priority,2114A3,201,ZONE_B,True,0.012922003005227167
21-723011,27,10,6,1620,195,2466,195,Medium Movement,0,0.5050754716981132,Medium Priority,223522,195,ZONE_B,True,0.017444704057056674
21-724564,19,5,5,475,707,14142,707,High Movement,0,0.5835283018867924,Medium Priority,223223,706,ZONE_B,True,0.00511495952290242
21-726162,13,7,6,546,1203,38125,1203,High Movement,1,0.68188679245283,Medium Priority,473923,680,ZONE_B,True,0.005879511367378361
21-726167,13,4,11,572,1011,31607,1011,High Movement,0,0.6581698113207547,Medium Priority,473022,600,ZONE_B,True,0.006159488099158282
21-726628,13,10,5,650,61,1426,61,Low Movement,0,0.267943396226415,Low Priority,473623,49,ZONE_C,False,0.006999418294498048
21-726055,27,15,8,3240,8,84,8,Low Movement,0,0.2978301886792452,Low Priority,2120D4,8,ZONE_C,False,0.03488940811411335
21-726058,14,8,8,896,635,12710,635,High Movement,0,0.6288113207547169,Medium Priority,482923,630,ZONE_B,True,0.009648428910569617
21-726062,14,8,8,896,995,18793,995,High Movement,0,0.7046226415094339,Medium Priority,2154A5,691,ZONE_B,True,0.009648428910569617
21-7275281,15,7,7,735,801,7462,801,High Movement,0,0.6446037735849056,Medium Priority,472123,425,ZONE_B,True,0.007914726840701639
21-7275291,15,7,7,735,505,4661,505,Medium Movement,0,0.5637735849056603,Medium Priority,483723,406,ZONE_B,True,0.007914726840701639
21-7275201,15,7,7,735,402,3701,402,Medium Movement,0,0.5187358490566037,Medium Priority,471322,246,ZONE_B,True,0.007914726840701639
21-729761,18,7,4,504,744,11960,744,High Movement,0,0.5956792452830189,Medium Priority,471622,435,ZONE_B,True,0.00542724126219541
21-720902,1,1,1,1,1,1,1,Low Movement,0,0.0300943396226415,Low Priority,223632,1,ZONE_C,False,1.0768335837689304e-05
217316507H,24,6,6,864,18,287,18,Low Movement,0,0.2170377358490565,Low Priority,223523,18,ZONE_C,False,0.00930384216376356
21-732269,17,5,5,425,883,12996,883,High Movement,0,0.6159622641509434,Medium Priority,463933,455,ZONE_B,True,0.004576542731017954
21-733213,32,12,27,10368,287,5480,287,Medium Movement,0,0.6217924528301887,Medium Priority,781523,102,ZONE_B,True,0.11164610596516272
21-733362,24,15,11,3960,59,360,59,Low Movement,0,0.411,Medium Priority,472223,43,ZONE_B,True,0.04264260991724965
21-733363,16,7,7,784,41,406,41,Low Movement,0,0.258566037735849,Low Priority,472322,36,ZONE_C,False,0.008442375296748416
21-734681,19,15,6,1710,1,5,1,Low Movement,0,0.238566037735849,Low Priority,471822,1,ZONE_C,False,0.01841385428244871
21-734682,11,18,2,396,172,2578,172,Medium Movement,0,0.3416037735849057,Low Priority,471222,93,ZONE_C,False,0.004264260991724965
21-734716,25,6,6,900,2462,53618,2462,High Movement,1,0.8167735849056602,High Priority,222122,2460,ZONE_A,True,0.009691502253920374
21-735996,28,18,5,2520,772,4580,772,High Movement,0,0.7522641509433963,Medium Priority,482522,435,ZONE_B,True,0.02713620631097705
21-735999,7,2,32,448,137,2061,137,Low Movement,0,0.317566037735849,Low Priority,482922,137,ZONE_C,False,0.004824214455284808
21-735990,7,17,3,357,808,13190,808,High Movement,0,0.5884528301886792,Medium Priority,482523,447,ZONE_B,True,0.0038442958940550814
21-738609,24,6,6,864,3496,105501,3496,High Movement,3,0.8321132075471698,High Priority,221223,3483,ZONE_A,True,0.00930384216376356
21-738600,19,6,6,684,3900,133200,3900,High Movement,3,0.8098867924528301,High Priority,221222,3888,ZONE_A,True,0.007365541712979484
21-738768,26,1,16,416,100,1248,100,Low Movement,0,0.2774716981132075,Low Priority,481032,56,ZONE_C,False,0.004479627708478751
21-741133,19,6,6,684,455,6310,455,Medium Movement,0,0.5335849056603773,Medium Priority,222523,454,ZONE_B,True,0.007365541712979484
21-741271,18,13,4,936,75,13777,75,Low Movement,0,0.3326792452830188,Low Priority,781522,36,ZONE_C,False,0.010079162344077188
21-743699,25,6,6,900,3635,63962,3635,High Movement,3,0.842132075471698,High Priority,221023,3634,ZONE_A,True,0.009691502253920374
21-743690,11,18,2,396,172,2511,172,Medium Movement,0,0.3416037735849057,Low Priority,N222A3,171,ZONE_C,False,0.004264260991724965
21-743602,19,4,12,912,529,8130,529,Medium Movement,0,0.6004339622641509,Medium Priority,471022,283,ZONE_B,True,0.009820722283972644
21-745474,18,12,1,216,31,391,31,Low Movement,0,0.1512830188679245,Low Priority,N21333,31,ZONE_C,False,0.00232596054094089
21-748818,25,6,6,900,747,15235,747,High Movement,0,0.6592075471698112,Medium Priority,221323,746,ZONE_B,True,0.009691502253920374
21-748819,1,1,1,1,192,3812,192,Medium Movement,0,0.2974150943396226,Low Priority,221523,192,ZONE_C,False,1.0768335837689304e-05
21-748810,24,6,6,864,1337,39414,1337,High Movement,1,0.7420377358490565,Medium Priority,221322,1337,ZONE_B,True,0.00930384216376356
21-749293,24,6,6,864,266,4588,266,Medium Movement,0,0.4759056603773585,Medium Priority,222822,266,ZONE_B,True,0.00930384216376356
21-749296,1,1,1,1,5,900,5,Low Movement,0,0.048188679245283,Low Priority,493323,4,ZONE_C,False,1.0768335837689304e-05
21-740506,19,3,12,684,66,586,66,Low Movement,0,0.2782830188679245,Low Priority,N21923,66,ZONE_C,False,0.007365541712979484
21-752114,17,13,4,884,614,5951,614,Medium Movement,0,0.6223207547169811,Medium Priority,N21232,614,ZONE_B,True,0.009519208880517346
21-752132,26,6,6,936,116,3810,116,Low Movement,0,0.3761320754716981,Low Priority,222422,116,ZONE_C,False,0.010079162344077188
21-753419,25,6,6,900,158,1332,158,Medium Movement,0,0.4079999999999999,Medium Priority,222323,158,ZONE_B,True,0.009691502253920374
21-753937,15,7,7,735,891,8326,891,High Movement,0,0.6641509433962264,Medium Priority,472222,459,ZONE_B,True,0.007914726840701639
21-753077,21,8,8,1344,44,498,44,Low Movement,0,0.3342641509433962,Low Priority,N21932,44,ZONE_C,False,0.014472643365854427
21-753079,1,1,1,1,391,7940,391,Medium Movement,0,0.4003018867924528,Medium Priority,N21823,391,ZONE_B,True,1.0768335837689304e-05
